STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2010,,3681.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2011,,3769.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2012,,3501.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2013,,3635.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2014,,5585.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2015,,5046.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2016,,4718.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2017,,4796.189,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2018,,4758.695,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2019,,4449.049,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2020,,4318.885,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2021,,5443.200,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2022,,5379.615,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,CZ,Czechia,2023,,4404.284,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2010,,50484.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2011,,51916.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2012,,52479.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2013,,58034.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2014,,57453.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2015,,57637.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2016,,60327.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2017,,52935.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2018,,47259.772,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2019,,43007.711,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2020,,31281.095,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2021,,40851.878,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2022,,44791.061,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DE,Germany,2023,,33025.415,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2010,,4594.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2011,,6159.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2012,,4000.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2013,,4973.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2014,,4554.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2015,,2772.426,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2016,,2897.384,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2017,,3085.752,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2018,,2770.486,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2019,,2396.234,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2020,,1122.166,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2021,,785.909,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2022,,1883.339,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,DK,Denmark,2023,,1296.400,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2010,,71.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2011,,67.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2012,,82.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2013,,59.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2014,,82.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2015,,7.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2016,,23.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2017,,45.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2018,,44.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2019,,48.695,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2020,,3.500,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2021,,5.300,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2022,,3.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EE,Estonia,2023,,5.080,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EL,Greece,2010,,652.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EL,Greece,2011,,506.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EL,Greece,2012,,413.000,,,,,
dataflow,ESTAT:NRG_TI_SFF(1.0),Imports of solid fossil fuels by partner country,A,Annual,C0000X0350-0370,Solid fossil fuels,TOTAL,Total,THS_T,Thousand tonnes,EL,Greece,2013,,441.000,,,,,
